date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:48	166/166	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Fri,%2001%20Jan%202021%2003:47:48%20GMT	http://ncg.macmar.co/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fncg.macmar.co%2Fgutter-guards%2F&format=xml	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-json/oembed/1.0/embed8f01	(from http://ncg.macmar.co/gutter-guards/)
21:47:49	502751/502751	URF---	200	added ('OK%20(cached)')	image/jpeg		http://ncg.macmar.co/wp-content/uploads/2020/12/new-roof-with-gutter-P-1-scaled.jpg	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/uploads/2020/12/new-roof-with-gutter-P-1-scaled.jpg	(from http://ncg.macmar.co/gutter-guards/)
21:47:49	89100/89100	---M--	200	added ('OK')	font/woff	etag:%225fd8c8e5-15c0c%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	(from http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.0.14)
21:47:50	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228656-5b6819f753d20%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot?	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400d41d.eot	(from http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.0.14)
21:47:50	131930/131930	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222035a-5b6819f753938%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	(from http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.0.14)
21:47:51	193333/193333	URF---	200	added ('OK%20(cached)')	image/jpeg		http://ncg.macmar.co/wp-content/uploads/elementor/thumbs/Good-Installation-1-scaled-p0jnekp3t5576utvkqde23ecytqaljcvk9upct925c.jpeg	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/uploads/elementor/thumbs/Good-Installation-1-scaled-p0jnekp3t5576utvkqde23ecytqaljcvk9upct925c.jpg	(from http://ncg.macmar.co/gutter-guards/)
21:47:51	166/166	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Fri,%2001%20Jan%202021%2003:47:51%20GMT	http://ncg.macmar.co/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fncg.macmar.co%2Fgutter-cleaning%2F	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-json/oembed/1.0/embed9415.json	(from http://ncg.macmar.co/gutter-cleaning/)
21:47:51	34092/34092	---M--	200	added ('OK')	application/octet-stream	etag:%225fd8c8e5-852c%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.ttf	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.ttf	(from http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.0.14)
21:47:51	166/166	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Fri,%2001%20Jan%202021%2003:47:52%20GMT	http://ncg.macmar.co/wp-json/wp/v2/pages/1444	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-json/wp/v2/pages/1444.json	(from http://ncg.macmar.co/gutter-cleaning/)
21:47:52	177564/177564	URF---	200	added ('OK%20(cached)')	image/jpeg		http://ncg.macmar.co/wp-content/uploads/elementor/thumbs/Good-installation2-1-scaled-p0jndtfsay3vu5xgzwl7js9zqngnebcnsixmfsdh5s.jpeg	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/uploads/elementor/thumbs/Good-installation2-1-scaled-p0jndtfsay3vu5xgzwl7js9zqngnebcnsixmfsdh5s.jpg	(from http://ncg.macmar.co/gutter-cleaning/)
21:47:52	166/166	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Fri,%2001%20Jan%202021%2003:47:52%20GMT	http://ncg.macmar.co/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fncg.macmar.co%2Fcontact%2F	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-json/oembed/1.0/embedf4f3.json	(from http://ncg.macmar.co/contact/)
21:47:52	24368/24368	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fdd0a0b-5f30%22	http://ncg.macmar.co/wp-content/plugins/wpforms-lite/assets/js/jquery.validate.min.js?ver=1.19.0	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/wpforms-lite/assets/js/jquery.validate.minb3a6.js	(from http://ncg.macmar.co/contact/)
21:47:52	166/166	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Fri,%2001%20Jan%202021%2003:47:53%20GMT	http://ncg.macmar.co/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fncg.macmar.co%2Fcontact%2F&format=xml	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-json/oembed/1.0/embed9bad	(from http://ncg.macmar.co/contact/)
21:47:53	4014/4014	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fdd0a0b-fae%22	http://ncg.macmar.co/wp-content/plugins/wpforms-lite/assets/js/mailcheck.min.js?ver=1.1.2	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/wpforms-lite/assets/js/mailcheck.mincfa9.js	(from http://ncg.macmar.co/contact/)
21:47:53	62851/62851	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fdd0a0b-f583%22	http://ncg.macmar.co/wp-content/plugins/wpforms-lite/assets/js/wpforms.js?ver=1.6.4	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/wpforms-lite/assets/js/wpforms2745.js	(from http://ncg.macmar.co/contact/)
